Borough,Noms du reseau,Nom du lieu culturel municipal,Adresse,Code postal,Ville,Province,ACC_autodoor,ACC_entranceramp,ACC_streetlevel,ACC_stairs,ACC_elevator,WR_streetlvl,WR_rails,WR_gender_neutral,WR_size,WR_change_table,WR_family,INC_bilingual/en/fr,INC_helpfulstaff,INC_braille,INC_family_friendly,OVER_ccessible,OVER_comments,Telephone general,Site Internet,Latitude,Longitude,Description
Ville-Marie,Bibliotheque,Grande Bibliotheque - Bibliotheque et Archives nationales du Quebec,"475, boulevard De Maisonneuve Est",H2L 5C4,Montreal,QC,1,1,1,0,1,1,1,0,m,1,1,b,1,1,1,y,very good quality and excellent facilities.,514 873-1100,http://www.banq.qc.ca/accueil,-73.5623,45.51546,"Situee au cour du Quartier latin de Montreal, la Grande Bibliotheque accueill res de 50 000 visiteurs par semaine. Elle offre un choix de plus de quatre millions de documents a emprunter et a consulter sur place - livres, revues, journaux, films et disques, cartes geographiques, microfilms, etc. - et la possibilite d'explorer les richesses des collections patrimoniales. Enfin, BAnQ y presente des centaines de manifestations culturelles par annee a l'intention des adultes et des jeunes.La Grande Bibliotheque agit egalement comme bibliotheque centrale pour les Montrealais et les bibliotheques montrealaises, en vertu d'une entente avec la Ville de Montreal. De plus, la Bibliotheque dispense des services specialises destines a plusieurs publics, notamment les jeunes de 13 ans et moins, les gens d'affaires, les nouveaux arrivants, les membres des communautes culturelles et les personnes atteintes de deficiences visuelles ou autres."
Ahuntsic-Cartierville,Bibliotheque,Bibliotheque d'Ahuntsic,"10300, rue Lajeunesse",H3L 2E5,Montreal,QC,1,1,1,0,1,1,1,0,m,1,1,f,1,0,1,y,"overall very inclusive and accommodating, future improvements planned",514 872-0568,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=2",-73.6638,45.55392,"Situee au coeur du quartier Ahuntsic, face au parc du meme nom, la bibliotheque occupe l'edifice Albert-Dumouchel, qu'elle partage avec la maison de la culture et le centre local d'emploi.On peut y admirer une dizaine d'oeuvres d'art, dont deux gravures d'Albert Dumouchel (1916-1971), un ancien residant du quartier. Aux cotes de Pellan et de Borduas, Albert Dumouchel est considere comme un des piliers de l'emergence de l'art contemporain au Quebec. Il a produit plus de 2000 oeuvres et a forme plusieurs generations d'artistes a l'Ecole des arts graphiques. On a voulu lui rendre hommage en donnant son nom a l'edifice."
Montreal-Nord,Bibliotheque,Bibliotheque de Belleville,"10400, avenue de Belleville",H1H 4Z7,Montreal,QC,1,1,1,0,1,0,1,0,s,1,1,f,1,0,1,y,pleasant staff but facilities need an upgrade to meet modern UAP standards,514 328-4000 #4140,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=5",-73.6422,45.58195,"La bibliotheque de Belleville, qui a ouvert ses portes en 1973, vibre au coeur de la vie de son quartier. Elle est implantee dans le parc Ottawa, a proximite de nombreux autres services offerts par l'arrondissement."
Cote-des-Neiges-Notre-Dame-de-Gra½ce,Bibliotheque,Bibliotheque Benny,"3465, avenue Benny",H4B 2R9,Montreal,QC,1,1,1,0,1,0,1,0,l,1,1,b,1,0,1,y,excellent for families and seniors. clean facilities,514 872-4147,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=6",-73.6277,45.46533,"En 1956, la bibliotheque Benny ouvre ses portes dans un edifice qui abritait a l'origine la chapelle temporaire de la paroisse Sainte-Monica. Situee aux abords d'un petit parc et choyee par un amenagement paysager luxuriant, la bibliotheque beneficie d'un cadre pastoral dans un milieu urbain.¶ En 1998, une mise aux normes du ba½timent permet de rajeunir les installations tout en conservant les caracteristiques de la chapelle ainsi que l'atmosphere chaleureuse et familiale qui fait son charme. Aujourd'hui, la bibliotheque poursuit son travail de modernisation et de diversification de ses collections afin d'offrir des services documentaires professionnels a tous les citoyens residant a l'ouest du quartier Notre-Dame-de-Gra½ce."
Saint-Laurent,Bibliotheque,Bibliotheque du Boise,"2727, boulevard Thimens",H4R 1T4,Montreal,QC,1,1,1,1,1,1,1,0,m,1,1,f,1,0,1,y,very well designed for strollers but lack of clear signage,514 855-6130,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=429",-73.7057,45.50285,"La Bibliotheque du Boise est strategiquement situee dans un secteur central de l'arrondissement de Saint-Laurent, a proximite du boise du parc Marcel-Laurin. La presence meme du parc a grandement influence le design du ba½timent en parfaite harmonie avec le contexte naturel environnant.¶ Moderne, a la fine pointe de la technologie, et d'une superficie de 4 286 m2, la bibliotheque du Boise se distingue par la convivialite de ses espaces, la multiplicite des services et des lieux de rencontres et une programmation variee favorisant les echanges entre citoyens. La bibliotheque abrite egalement un centre d'exposition et une reserve museale, qui viennent enrichir la portee culturelle et patrimoniale du lieu."
Ahuntsic-Cartierville,Bibliotheque,Bibliotheque de Cartierville,"5900, rue De Salaberry",H4J 1J8,Montreal,QC,1,1,1,1,0,0,1,0,m,1,1,b,1,1,1,y,"overall very inclusive and accommodating, future improvements planned",514 872-6989,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=10",-73.713,45.52711,"En juin 2002, a l'issue d'un partenariat d'une vingtaine d'annees avec l'ecole secondaire Evangeline, la bibliotheque l'Acadie ferme ses portes et demenage dans les anciens locaux d'une epicerie de quartier, rue Grenet. Ainsi naa©t la bibliotheque de Cartierville, qui ouvre ses portes en fevrier 2003.La bibliotheque offre une salle multifonctionnelle ouverte a tous les diffuseurs d'information communautaire et culturelle du quartier. Elle se veut aussi un lieu rassembleur pour la communaute, brisant l'isolement et favorisant l'integration et l'epanouissement de chacun."
Montreal-Nord,Bibliotheque,Bibliotheque Charleroi,"4740, rue de Charleroi",H1H 1V2,Montreal,QC,1,1,1,0,0,1,1,0,s,1,1,f,1,0,1,y,pleasant staff but facilities need an upgrade to meet modern UAP standards,514 328-4000 #4135,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=12",-73.6314,45.59651,"La bibliotheque Charleroi est l'une des toutes premieres au Quebec a avoir informatise ses activites. Situee au coeur du territoire de Montreal-Nord, elle est la premiere des trois bibliotheques de l'arrondissement a voir le jour en 1970. C'est a cet endroit que l'on peut consulter, sur rendez-vous, le fonds d'archives Yves-Ryan relatant l'histoire de Montreal-Nord et de la Communaute urbaine de Montreal (CUM) de 1963 a 2001."
Cote-des-Neiges-Notre-Dame-de-Gra½ce,Bibliotheque,Bibliotheque de Cote-des-Neiges,"5290, chemin de la Cote-des-Neiges",H3T 1Y2,Montreal,QC,1,1,1,3,0,0,1,0,l,1,1,f,1,0,1,y,excellent for families and seniors. clean facilities,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=13",-73.6221,45.49606,"En 1985, deux ans apres son ouverture, la bibliotheque de Cote-des-Neiges recevait une mention de la Corporation des architectes du Quebec pour la qualite et l'harmonie des formes du ba½timent. Dans la cage de son escalier, la bibliotheque expose une oeuvre non titree de Astri Reusch (1983). Nee en Guyanne britannique, cette artiste pluridisciplinaire demeure a Montreal. Sa production artistique est impressionnante, diversifiee et novatrice."
Montreal-Nord,Bibliotheque,Bibliotheque de la Maison culturelle et communautaire de Montreal-Nord,"12002, boulevard Rolland",H1G 3W1,Montreal,QC,1,1,1,3,1,1,1,0,m,1,1,f,1,1,1,y,excellent for families and seniors. clean facilities,514 328-4000 #5626,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=8",-73.6207,45.6163,"La bibliotheque de la Maison culturelle et communautaire de Montreal-Nord offre des collections variees pour tous les groupes d'a½ge, 16 postes informatiques et une grande salle reservee aux nombreuses animations.La facture moderne et recherchee de l'architecture de La Maison culturelle et communautaire de Montreal-Nord reflete l'importance accordee aux themes d'ouverture et d'accessibilite qui sont au coeur de la vocation communautaire de l'immeuble.¶"
Ville-Marie,Bibliotheque,Bibliotheque Frontenac,"2550, rue Ontario",H2K 1W7,Montreal,QC,1,1,1,5,0,1,1,0,l,1,1,f,1,0,1,y,very good quality and excellent facilities.,514 872-7888,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=16",-73.5526,45.53302,"a partir de la station de metro Frontenac, une longue allee conduit a la bibliotheque Frontenac. Ouverte en 1989, celle-ci est installee dans un edifice moderne, dote de larges baies vitrees. La clarte y est omnipresente.Une oeuvre d'art de Michelle Heon, portant le titre 'Sais Site 2', egaie le coin des internautes. Vittorio Fiorucci, le concepteur du petit bonhomme vert du 'Festival Juste pour rire', y a egalement onaõu un triptyque sculptural : trois chaises, soit deux en bronze et une en bois. Cette oeuvre, qui s'intitule 'Leaõon d'histoire', suscite beaucoup d'interet parmi les visiteurs."
Le Sud-Ouest,Bibliotheque,Bibliotheque Georges-Vanier,"2450, rue Workman (angle Vinet)",H3J 1L8,Montreal,QC,1,1,1,4,1,0,1,0,s,1,1,f,1,1,1,y,excellent for families and seniors. clean facilities,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=17",-73.5751,45.48352,"Cette bibliotheque centenaire est la premiere bibliotheque publique de langue franaõaise construite au Canada et la plus ancienne succursale toujours en service sur le territoire de la Ville de Montreal. Rebaptisee plus d'une fois, la bibliotheque a survecu a une fermeture de 27 ans! Fermee en 1918 par mesure d'economie a la suite de la Grande Guerre de 1914-1918, c'est en 1947, gra½ce aux pressions de Georges Vanier qu'elle rouvrira enfin ses portes, sous le nom de bibliotheque Workman.Elle ouvrira de nouveau ses portes en 2004 apres d'importantes renovations. Des elements architecturaux tels que les murs de brique originaux et les escaliers de fonte, qui ont jadis servi aux pompiers, rappellent aux usagers le riche passe de la bibliotheque."
Anjou,Bibliotheque,Bibliotheque du Haut-Anjou,"7070, rue Jarry Est",H1J 1G4,Montreal,QC,1,1,1,0,0,0,1,0,l,1,1,b,1,0,1,y,very well designed for strollers but lack of clear signage,514 493-8271,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=18",-73.576,45.60129,"En 1990, la bibliotheque du Haut-Anjou ouvre ses portes. Cette bibliotheque modeste, mais bien implantee dans le quartier, facilite l'acces des citoyens du secteur nord de l'arrondissement a la collection et aux services de la bibliotheque."
Montreal-Nord,Bibliotheque,Bibliotheque Henri-Bourassa,"5400, boulevard Henri-Bourassa Est",H1G 2S9,Montreal,QC,1,1,1,0,0,1,1,0,m,1,1,f,1,1,1,y,pleasant staff but facilities need an upgrade to meet modern UAP standards,514 328-4000 #4134,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=19",-73.6252,45.60467,"Cet ancien ba½timent d'Hydro-Quebec trouve une toute nouvelle vocation le 15 mai 1980 lorsqu'il devient la bibliotheque principale de Montreal-Nord, l'un des plus grands centres biblio-culturels de l'arrondissement. Il regroupe les services techniques, le service des acquisitions et l'administration. Une magnifique verriere y est amenagee et invite la clientele a la lecture et a la detente."
